sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
ENCSR000DPL,https://www.encodeproject.org/files/ENCFF001END/@@download/ENCFF001END.fastq.gz,,1,H3K27ac,ENCSR000DPN,1
ENCSR000DPL,https://www.encodeproject.org/files/ENCFF001ENE/@@download/ENCFF001ENE.fastq.gz,,1,H3K27ac,ENCSR000DPN,1
ENCSR000EUT,https://www.encodeproject.org/files/ENCFF000VCQ/@@download/ENCFF000VCQ.fastq.gz,,1,H3K27ac,ENCSR000EUX,1
ENCSR000EUT,https://www.encodeproject.org/files/ENCFF000VCS/@@download/ENCFF000VCS.fastq.gz,,2,H3K27ac,ENCSR000EUX,1
ENCSR000EWR,https://www.encodeproject.org/files/ENCFF000VHD/@@download/ENCFF000VHD.fastq.gz,,1,H3K27ac,ENCSR000EWW,1
ENCSR000EWR,https://www.encodeproject.org/files/ENCFF000VHC/@@download/ENCFF000VHC.fastq.gz,,2,H3K27ac,ENCSR000EWW,2
ENCSR000EXK,https://www.encodeproject.org/files/ENCFF000VJD/@@download/ENCFF000VJD.fastq.gz,,1,H3K27ac,ENCSR000EXM,1
ENCSR000EXK,https://www.encodeproject.org/files/ENCFF000VJH/@@download/ENCFF000VJH.fastq.gz,,2,H3K27ac,ENCSR000EXM,1
ENCSR000FCH,https://www.encodeproject.org/files/ENCFF002ABA/@@download/ENCFF002ABA.fastq.gz,,1,H3K27ac,ENCSR000EVA,1
ENCSR000FCH,https://www.encodeproject.org/files/ENCFF002AAY/@@download/ENCFF002AAY.fastq.gz,,2,H3K27ac,ENCSR000EVA,1
ENCSR000FCH,https://www.encodeproject.org/files/ENCFF002ABC/@@download/ENCFF002ABC.fastq.gz,,2,H3K27ac,ENCSR000EVA,1
ENCSR000FCU,https://www.encodeproject.org/files/ENCFF002ABL/@@download/ENCFF002ABL.fastq.gz,,1,H3K27ac,ENCSR000FDA,1
ENCSR000FCU,https://www.encodeproject.org/files/ENCFF002ABN/@@download/ENCFF002ABN.fastq.gz,,2,H3K27ac,ENCSR000FDA,1
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF143SXY/@@download/ENCFF143SXY.fastq.gz,,1,H3K27ac,ENCSR867SJE,1
