experiment_accession	is_control	matched_control	target_label	assay_title	description	lab	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	organism	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	run_type	platform	bio_replicate_count	tech_replicate_count	replication_type	date_released	status_exp	n_fastq_files	total_bytes
ENCSR534WQA	True			Control ChIP-seq	Homo sapiens with Alzheimer's disease; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO070VNS	female	adult	88	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	3051364753.0
ENCSR535GFO	False	ENCSR819JOI	H3K27ac	Histone ChIP-seq	Homo sapiens tibial artery tissue male adult (54 years)	Bradley Bernstein, Broad	UBERON:0007610	tibial artery	tissue	arterial blood vessel,vasculature,limb,blood vessel		mesoderm	circulatory system	Homo sapiens	ENCDO451RUA	male	adult	54	year		single-ended	Illumina HiSeq 2500	2	2	isogenic	2018-12-11	released	4	6835272156.0
ENCSR535VLV	True			Control ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue male adult (84 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO999WDR	male	adult	84	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	3769832375.0
ENCSR538MSN	True			Control ChIP-seq	Homo sapiens stomach tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0000945	stomach	tissue	stomach		endoderm	digestive system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-09-06	released	4	6835373957.0
ENCSR539HNK	True			Control ChIP-seq	Homo sapiens stomach tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0000945	stomach	tissue	stomach		endoderm	digestive system	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2016-11-03	released	4	4846402051.0
ENCSR540ADS	False	ENCSR061VJM	H3K27ac	Histone ChIP-seq	Homo sapiens lung tissue female adult (30 years)	Bing Ren, UCSD	UBERON:0002048	lung	tissue	lung		endoderm	respiratory system	Homo sapiens	ENCDO424HVB	female	adult	30	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	1959304534.0
ENCSR540KQC	False	ENCSR201VAH	H3K27ac	Histone ChIP-seq	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron	Michael Snyder, Stanford	CL:0000100	motor neuron	in vitro differentiated cells	spinal cord,brain	neural cell	ectoderm	central nervous system	Homo sapiens	ENCDO908CUN	male	adult	47	year		paired-ended	Illumina NovaSeq 6000	2	2	isogenic	2021-08-24	released	2	8761132102.0
ENCSR541DBO	True			Control ChIP-seq	Homo sapiens small intestine tissue male embryo (108 days)	John Stamatoyannopoulos, UW	UBERON:0002108	small intestine	tissue	intestine,small intestine		endoderm	digestive system	Homo sapiens	ENCDO119ASK	male	embryonic	108	day		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	1578889295.0
ENCSR543CPW	False	ENCSR687YOP	H3K27ac	Histone ChIP-seq	Homo sapiens small intestine tissue male adult (34 years)	Bing Ren, UCSD	UBERON:0002108	small intestine	tissue	small intestine,intestine		endoderm	digestive system	Homo sapiens	ENCDO058AAA	male	adult	34	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	3	3271132520.0
ENCSR543ZVZ	False	ENCSR872BBM	H3K27ac	Histone ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 4 hours	Tim Reddy, Duke	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 2000	3	3	isogenic	2016-07-21	released	3	3258247309.0
