sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM1220839,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1220839/fastq/SRR961619.fastq.gz,,1,H3K27ac,GSM1220853,1
GSM1220853,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1220853/fastq/SRR961633.fastq.gz,,1,,,
GSM1220846,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1220846/fastq/SRR961626.fastq.gz,,1,H3K27ac,GSM1220854,1
GSM1220854,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1220854/fastq/SRR961634.fastq.gz,,1,,,
GSM1220847,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1220847/fastq/SRR961627.fastq.gz,,1,H3K27ac,GSM1220855,1
GSM1220855,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1220855/fastq/SRR961635.fastq.gz,,1,,,
GSM1223552,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1223552/fastq/SRR965508.fastq.gz,,1,H3K27ac,GSM1223562,1
GSM1223562,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1223562/fastq/SRR965523.fastq.gz,,1,,,
GSM1264352,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264352/fastq/SRR1029856.fastq.gz,,1,H3K27ac,GSM1264353,1
GSM1264353,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264353/fastq/SRR1029857.fastq.gz,,1,,,
GSM1264356,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264356/fastq/SRR1029860.fastq.gz,,1,H3K27ac,GSM1264357,1
