sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM2723818,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723818/fastq/SRR5885096.fastq.gz,,1,H3K27ac,GSM2723821,1
GSM2723818,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723818/fastq/SRR5885097.fastq.gz,,1,H3K27ac,GSM2723821,1
GSM2723821,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723821/fastq/SRR5885102.fastq.gz,,1,,,
GSM2723821,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723821/fastq/SRR5885103.fastq.gz,,1,,,
GSM2723822,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723822/fastq/SRR5885104.fastq.gz,,1,H3K27ac,GSM2723825,1
GSM2723822,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723822/fastq/SRR5885105.fastq.gz,,1,H3K27ac,GSM2723825,1
GSM2723825,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723825/fastq/SRR5885110.fastq.gz,,1,,,
GSM2723825,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723825/fastq/SRR5885111.fastq.gz,,1,,,
GSM2723834,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723834/fastq/SRR5885128_1.fastq.gz,,1,H3K27ac,GSM2723835,1
GSM2723834,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723834/fastq/SRR5885129_1.fastq.gz,,1,H3K27ac,GSM2723835,1
GSM2723835,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723835/fastq/SRR5885130_1.fastq.gz,,1,,,
